title,price,bedrooms,has_maid_room,bathrooms,area sqm,property_type,available from,location,amenities
HOT DEAL Mivida Apartment 137m +G 1st Use Finished,15500000,2,No,2,1371475,Apartment,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Private Garden, Security"
HOT DEAL Mivida Apartment 137m +G 1st Use Finished,15500000,2,No,2,1371475,Apartment,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Private Garden, Security"
LOWEST PRICE 143m Finished 1st Use Prime Location,16000000,2,No,2,1431539,Apartment,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Security"
LOWEST PRICE 143m Finished 1st Use Prime Location,16000000,2,No,2,1431539,Apartment,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Security"
HOT DEAL Mivida Twin Villa 320m Ready to Move,36000000,3,Yes,3,3203444,Twin House,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
Mivida Hot Deal 4 Bedrooms Open View on Landscape,47500000,4,Yes,3,2532723,Villa,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
Mivida Hot Deal 4 Bedrooms Open View on Landscape,47500000,4,Yes,3,2532723,Villa,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
Hot Price Standalone 356m BUA Prime View in Mivida,56700000,4,Yes,4,3563832,Villa,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
Hot Price Standalone 356m BUA Prime View in Mivida,56700000,4,Yes,4,3563832,Villa,16 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
1St Row Lagoon Chalet For Sale Finished Offer 5%DP,14700000,3,Yes,3,90969,Chalet,18 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
1St Row Lagoon Chalet For Sale Finished Offer 5%DP,14700000,3,Yes,3,90969,Chalet,18 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Launch Price Finished 1st Row Sea View 5%D.P,13000000,2,Yes,3,1201292,Chalet,16 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Launch Price Finished 1st Row Sea View 5%D.P,13000000,2,Yes,3,1201292,Chalet,16 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
BEST OPPORTUNITY FOR INVESTMENT BY ORASCOM - 0% DP,14800000,3,Yes,3,1141227,Apartment,17 Jun 2026,"Mangroovy Residence, El Gouna, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
BEST OPPORTUNITY FOR INVESTMENT BY ORASCOM - 0% DP,14800000,3,Yes,3,1141227,Apartment,17 Jun 2026,"Mangroovy Residence, El Gouna, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
OWN VILLA STEPS TO THE SEA FULLY FINISHED ON 10YRS,40000000,4,Yes,4,2602799,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
OWN VILLA STEPS TO THE SEA FULLY FINISHED ON 10YRS,40000000,4,Yes,4,2602799,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Ready to move Corner Townhouse O West lowest price,16123500,3,Yes,3,1952099,Townhouse,17 Jun 2026,"O West, 6 October Compounds, 6 October City, Giza","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Ready to move Corner Townhouse O West lowest price,16123500,3,Yes,3,1952099,Townhouse,17 Jun 2026,"O West, 6 October Compounds, 6 October City, Giza","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Fully Finished 2BR Apartment in Village West,10900000,2,Yes,2,1231324,Apartment,17 Jun 2026,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Fully Finished 2BR Apartment in Village West,10900000,2,Yes,2,1231324,Apartment,17 Jun 2026,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Hot Offer Luxury Villa with Sea View Marassi,110000000,5,Yes,6,6607104,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Hot Offer Luxury Villa with Sea View Marassi,110000000,5,Yes,6,6607104,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale 2 Bed Chalet Marina Marassi Lowest Price,15500000,2,Yes,2,1061141,Chalet,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Balcony, Covered Parking, Built in Wardrobes, Central A/C, Children's Pool, Lobby in Building, View of Landmark, Shared Gym, Shared Spa, Security"
Resale 2 Bed Chalet Marina Marassi Lowest Price,15500000,2,Yes,2,1061141,Chalet,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Balcony, Covered Parking, Built in Wardrobes, Central A/C, Children's Pool, Lobby in Building, View of Landmark, Shared Gym, Shared Spa, Security"
Own chalet fully finished with Ora silver sands,14000000,2,Yes,2,1902045,Chalet,17 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Shared Pool"
Own chalet fully finished with Ora silver sands,14000000,2,Yes,2,1902045,Chalet,17 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Shared Pool"
Not Fake Offer: Villa for Sale in City Gate,18000000,3,No,3,2552745,Twin House,17 Jun 2026,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water"
Not Fake Offer: Villa for Sale in City Gate,18000000,3,No,3,2552745,Twin House,17 Jun 2026,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water"
Resale Chalet Garden 190m- Exclusive Price at Azha,6900000,3,No,3,1311410,Chalet,17 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Spa"
Resale Chalet Garden 190m- Exclusive Price at Azha,6900000,3,No,3,1311410,Chalet,17 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Spa"
ONE STORY VILLA | FULL SEA VIEW FOR SALE | RAMLA,96000000,4,Yes,4,3503767,Villa,17 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Shared Spa, Walk-in Closet, View of Landmark"
ONE STORY VILLA | FULL SEA VIEW FOR SALE | RAMLA,96000000,4,Yes,4,3503767,Villa,17 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Shared Spa, Walk-in Closet, View of Landmark"
Boulevard Apartment | Best Value & Open View,20000000,3,Yes,3,2002153,Apartment,14 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study"
Boulevard Apartment | Best Value & Open View,20000000,3,Yes,3,2002153,Apartment,14 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study"
Resale Chalet Prime Location Under Market Price,11000000,4,Yes,3,3003229,Chalet,17 Jun 2026,"Amwaj, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Covered Parking, Central A/C, Kitchen Appliances, Children's Pool, View of Landmark, Walk-in Closet, Lobby in Building"
Resale Chalet Prime Location Under Market Price,11000000,4,Yes,3,3003229,Chalet,17 Jun 2026,"Amwaj, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Covered Parking, Central A/C, Kitchen Appliances, Children's Pool, View of Landmark, Walk-in Closet, Lobby in Building"
Resale chalet bahry Lowest price &view lagon,3900000,1,Yes,1,65700,Chalet,17 Jun 2026,"Hacienda West, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale chalet bahry Lowest price &view lagon,3900000,1,Yes,1,65700,Chalet,17 Jun 2026,"Hacienda West, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Ground Apartment For Sale Lowest Price RTM,8450000,2,Yes,2,1201292,Apartment,17 Jun 2026,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Ground Apartment For Sale Lowest Price RTM,8450000,2,Yes,2,1201292,Apartment,17 Jun 2026,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Resale Quattro Villa Prime Location 80% Finishing,26800000,4,Yes,4,2873089,Villa,16 Jun 2026,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Quattro Villa Prime Location 80% Finishing,26800000,4,Yes,4,2873089,Villa,16 Jun 2026,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
SEA VIEW 3BR Chalet with only 5% Down payment !!,17300000,3,No,4,1451561,Chalet,17 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Walk-in Closet, Shared Gym"
SEA VIEW 3BR Chalet with only 5% Down payment !!,17300000,3,No,4,1451561,Chalet,17 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Walk-in Closet, Shared Gym"
FULLY FINISHED APARTMENT IN DISTRICT 5 FOR SALE,19000000,2,Yes,2,1541658,Apartment,17 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
FULLY FINISHED APARTMENT IN DISTRICT 5 FOR SALE,19000000,2,Yes,2,1541658,Apartment,17 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Launch Price Finished 1stRow Villa Sea+Lagoon View,20000000,3,Yes,4,2002153,Villa,17 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Built in Wardrobes, Covered Parking, Kitchen Appliances, Central A/C, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water"
Launch Price Finished 1stRow Villa Sea+Lagoon View,20000000,3,Yes,4,2002153,Villa,17 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Built in Wardrobes, Covered Parking, Kitchen Appliances, Central A/C, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water"
resale fully furnished chalet under market price,21500000,3,Yes,3,1711841,Chalet,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
resale fully furnished chalet under market price,21500000,3,Yes,3,1711841,Chalet,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
"LAUNCH PRICE CHALET SEA AND LAGOON VIEW, ONLY 5%DP",15500000,3,Yes,4,1701830,Chalet,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
"LAUNCH PRICE CHALET SEA AND LAGOON VIEW, ONLY 5%DP",15500000,3,Yes,4,1701830,Chalet,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
LAGOON VIEW FULLY FINISHED CHALET | NEW LAUNCH !,13500000,2,Yes,3,1001076,Chalet,17 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Private Garden, Private Pool, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool"
LAGOON VIEW FULLY FINISHED CHALET | NEW LAUNCH !,13500000,2,Yes,3,1001076,Chalet,17 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Private Garden, Private Pool, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool"
Last Villa Prime Location With Installment 8Years.,35000000,4,Yes,4,2302476,Twin House,17 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Last Villa Prime Location With Installment 8Years.,35000000,4,Yes,4,2302476,Twin House,17 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
FULLY FINISHED SEA VIEW CHALET FOR SALE WITH 5% DP,16200000,3,Yes,4,1872013,Chalet,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
FULLY FINISHED SEA VIEW CHALET FOR SALE WITH 5% DP,16200000,3,Yes,4,1872013,Chalet,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Garden Apartment for Sale Saada Boutique finished,10261000,1,Yes,1,83893,Apartment,16 Jun 2026,"Saada Compound, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Garden Apartment for Sale Saada Boutique finished,10261000,1,Yes,1,83893,Apartment,16 Jun 2026,"Saada Compound, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
First Row Large Villa Early Deliver 5BR over 8 yrs,40000000,4,Yes,5,3003229,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Built in Wardrobes, Shared Pool"
First Row Large Villa Early Deliver 5BR over 8 yrs,40000000,4,Yes,5,3003229,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Built in Wardrobes, Shared Pool"
LUXURY APARTMENT FOR SALE OVER 10 YEARS PRIME VIEW,13000000,2,Yes,2,1151238,Apartment,16 Jun 2026,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
LUXURY APARTMENT FOR SALE OVER 10 YEARS PRIME VIEW,13000000,2,Yes,2,1151238,Apartment,16 Jun 2026,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
APARTMENT FOR SALE LAKE VIEW OVER 14 Y- NEW LAUNCH,8000000,3,Yes,3,1401507,Apartment,16 Jun 2026,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
APARTMENT FOR SALE LAKE VIEW OVER 14 Y- NEW LAUNCH,8000000,3,Yes,3,1401507,Apartment,16 Jun 2026,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Two-room chalet first row on the sea ready to move,11000000,2,Yes,2,1201292,Chalet,16 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Two-room chalet first row on the sea ready to move,11000000,2,Yes,2,1201292,Chalet,16 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
